,FECHA (UTC),LAT grados,LON grados,MAG,KM,LOCALIDAD
80,22-MAY-2023 10:46:26,34.35,139.2,4.9,9,"CERCA LA COSTA DE S. HONSHU, JAPóN"
81,22-MAY-2023 08:58:03,19.68,-65.74,4.12,12,REGIÓN DE PUERTO RICO
82,22-MAY-2023 08:27:15,3.07,-84.28,4.4,10,FRENTE A LA COSTA DE CENTROAMÉRICA
83,22-MAY-2023 07:51:11,-17.19,-64.12,4.8,613,CENTRAL DE BOLIVIA
84,22-MAY-2023 07:42:40,34.43,139.3,5.1,10,"CERCA LA COSTA DE S. HONSHU, JAPóN"
85,22-MAY-2023 06:52:47,-23.75,171.68,5.5,30,AL SURESTE DE LAS ISLAS DE LEALTAD (LOYALTY)
86,22-MAY-2023 05:43:27,36.37,71.17,4.9,100,AFGANISTÁN-TAYIKISTÁN FRONT. REGIÓN
87,22-MAY-2023 04:47:19,-21.23,-68.82,4.1,129,CHILE-BOLIVIA FRONTERA REGIÓN
88,22-MAY-2023 04:45:20,-6.62,129.28,5.2,10,MAR BANDA
89,22-MAY-2023 03:11:53,51.78,178.37,4.4,101,"ISLAS RATA, ALEUTIANAS"
90,22-MAY-2023 03:05:19,19.62,-65.71,4.08,78,REGIÓN DE PUERTO RICO
91,22-MAY-2023 03:00:54,3.13,126.83,4.6,35,"TALAUD ISLAS, INDONESIA"
92,22-MAY-2023 02:45:36,26.9,96.98,5.0,10,MYANMAR
93,22-MAY-2023 00:05:43,-15.86,-73.53,4.3,67,EL SUR DE PERÚ
94,21-MAY-2023 23:44:24,-52.23,139.69,4.8,10,OESTE DE LA ISLA MACQUARIE
95,21-MAY-2023 22:20:04,29.84,129.13,5.5,184,"ISLAS RYUKYU, JAPÓN"
96,21-MAY-2023 21:45:43,35.86,60.55,4.4,10,NORTE Y CENTRAL IRAN
97,21-MAY-2023 21:11:40,-52.16,139.53,5.4,10,OESTE DE LA ISLA MACQUARIE
98,21-MAY-2023 20:54:36,-1.14,120.34,4.7,46,"SULAWESI, INDONESIA"
99,21-MAY-2023 20:16:22,37.92,36.26,4.1,10,TURQUÍA
